Date,Ticker,Side,Pred_Return_%,XGB_Rank_Score,Daily_Rank_Pct,Strategy_Return,Strategy_Return_%
2024-09-27,EVER,LONG,2.33,0.0511,98.95,-0.0286,-2.86
2024-10-01,SOXL,LONG,2.2,0.0945,99.59,-0.03,-3.0
2024-10-01,EXPE,LONG,2.19,0.0354,96.88,-0.018000000000000002,-1.8
2024-10-07,MDT,LONG,2.14,0.1012,99.31,-0.004399999999999999,-0.44
2024-10-07,GEV,LONG,2.6,0.0893,98.76,-0.0055,-0.55
2024-10-08,DPZ,LONG,3.44,0.0788,99.1,-0.0142,-1.42
2024-10-08,MRNA,LONG,2.05,0.0741,98.99,-0.03,-3.0
2024-10-09,VST,LONG,4.37,0.1898,100.0,-0.0189,-1.89
2024-10-09,GDS,LONG,2.15,0.1291,99.63,0.0651,6.51
2024-10-10,EBS,LONG,2.58,0.2055,99.95,0.010400000000000001,1.04
2024-10-10,WWW,LONG,3.08,0.0708,97.49,0.004699999999999999,0.47
2024-10-11,WING,LONG,2.23,0.1578,99.95,-0.0181,-1.81
2024-10-11,FSLR,LONG,2.88,0.0624,98.9,-0.03,-3.0
2024-10-15,PDD,LONG,2.05,0.0996,99.82,-0.03,-3.0
2024-10-15,DIS,LONG,3.04,0.0458,98.85,0.0035000000000000014,0.35
2024-10-17,MBLY,LONG,2.89,0.0852,99.86,0.0659,6.59
2024-10-17,RMD,LONG,2.11,0.0654,99.63,-0.0089,-0.89
2024-10-18,FXI,LONG,2.45,0.0373,96.28,-0.0242,-2.42
2024-10-18,NEXT,LONG,2.25,-0.0058,91.56,-0.0064,-0.64
2024-10-21,GSK,LONG,2.67,0.0376,96.98,-0.0233,-2.33
2024-10-21,PZZA,LONG,2.43,0.0047,93.36,-0.03,-3.0
2024-10-24,EDU,LONG,2.36,0.1039,99.91,0.0452,4.52
2024-10-24,DJT,LONG,2.13,0.0792,99.5,0.356,35.6
2024-10-29,SEDG,LONG,2.45,0.3267,100.0,-0.03,-3.0
2024-10-29,WST,LONG,2.12,0.1136,99.45,-0.018000000000000002,-1.8
2024-10-30,AAP,LONG,3.08,0.034,97.76,-0.005300000000000001,-0.53
2024-10-30,SPGI,LONG,2.06,0.0325,97.67,-0.0189,-1.89
2024-10-31,AAP,LONG,2.85,0.0139,95.79,0.0303,3.03
2024-10-31,DHI,LONG,2.07,-0.0032,93.37,0.006699999999999999,0.67
2024-11-04,AR,LONG,3.37,0.0615,98.86,0.10830000000000001,10.83
2024-11-04,RCL,LONG,2.55,0.0511,98.17,0.116,11.6
2024-11-06,GWRE,LONG,4.52,0.107,99.86,0.0049,0.49
2024-11-06,JD,LONG,2.99,0.0131,95.56,-0.0025000000000000005,-0.25
2024-11-07,MCHI,LONG,2.28,0.1511,99.95,-0.03,-3.0
2024-11-07,ANET,LONG,2.13,0.0752,99.45,-0.03,-3.0
2024-11-08,ENPH,LONG,5.45,0.0608,98.86,-0.03,-3.0
2024-11-08,NCLH,LONG,2.09,0.0207,96.9,0.0291,2.91
2024-11-11,VALE,LONG,2.34,0.1095,99.91,-0.03,-3.0
2024-11-11,AAP,LONG,2.01,0.1058,99.82,0.0671,6.71
2024-11-13,IVV,LONG,2.17,0.0803,99.22,-0.029400000000000003,-2.94
2024-11-13,RARE,LONG,3.57,0.0645,98.17,-0.03,-3.0
2024-11-14,NVAX,LONG,2.1,0.2273,100.0,-0.006200000000000001,-0.62
2024-11-14,IVV,LONG,3.04,0.0839,99.59,-0.0252,-2.52
2024-11-15,IVV,LONG,2.73,0.0878,99.31,-0.0091,-0.91
2024-11-15,INTC,LONG,3.48,0.0224,96.68,-0.03,-3.0
2024-11-18,AAP,LONG,2.33,0.0537,98.95,0.018500000000000003,1.85
2024-11-18,TMDX,LONG,2.15,0.0445,98.35,-0.0229,-2.29
2024-11-19,TMDX,LONG,4.29,0.0512,97.43,-0.028200000000000003,-2.82
2024-11-19,LULU,LONG,3.1,0.0508,97.38,0.022699999999999998,2.27
2024-11-21,SYF,LONG,2.08,0.0908,99.34,0.023599999999999996,2.36
2024-11-21,BABA,LONG,3.33,0.0533,97.76,-0.026099999999999998,-2.61
2024-11-22,EL,LONG,2.29,0.1335,99.91,0.08910000000000001,8.91
2024-11-22,SMMT,LONG,3.02,0.1165,99.73,0.0278,2.78
2024-11-27,DG,LONG,2.82,0.0734,99.05,0.0203,2.03
2024-11-27,CLF,LONG,2.68,0.0394,97.23,0.048600000000000004,4.86
